algorithm,display_algorithm,frozen_prob,map_id,map_label,seed,episode,success_rate,suite,map_size,oracle_success,holes,oracle_gap,eval_auc,first_episode_success_ge_0p8,suite_label
sarsa,SARSA,0.95,3,p0.95_m3,0,10000,0.98,random8,8x8,1.0,5,0.020000000000000018,0.6795,5500.0,Random 8x8 long
expected_sarsa,Expected SARSA,0.95,3,p0.95_m3,0,10000,1.0,random8,8x8,1.0,5,0.0,0.56,6500.0,Random 8x8 long
sarsa_lambda,SARSA(lambda),0.95,3,p0.95_m3,0,10000,0.48,random8,8x8,1.0,5,0.52,0.747,3000.0,Random 8x8 long
q_lambda,Q(lambda),0.95,3,p0.95_m3,0,10000,1.0,random8,8x8,1.0,5,0.0,0.886,1500.0,Random 8x8 long
sarsa_lambda,SARSA(lambda),0.9,4,p0.90_m4,0,10000,0.66,random8,8x8,1.0,6,0.33999999999999997,0.7615,3000.0,Random 8x8 long
expected_sarsa,Expected SARSA,0.9,4,p0.90_m4,0,10000,0.92,random8,8x8,1.0,6,0.07999999999999996,0.558,5500.0,Random 8x8 long
sarsa,SARSA,0.9,4,p0.90_m4,0,10000,0.96,random8,8x8,1.0,6,0.040000000000000036,0.703,4000.0,Random 8x8 long
q_learning,Q-learning,0.9,4,p0.90_m4,0,10000,0.96,random8,8x8,1.0,6,0.040000000000000036,0.79,2000.0,Random 8x8 long
q_lambda,Q(lambda),0.85,4,p0.85_m4,0,10000,1.0,random8,8x8,1.0,7,0.0,0.698,5000.0,Random 8x8 long
optimistic_q,Optimistic Q,0.85,4,p0.85_m4,0,10000,1.0,random8,8x8,1.0,7,0.0,0.963,500.0,Random 8x8 long
q_learning,Q-learning,0.9,0,p0.90_m0,0,10000,0.94,random8,8x8,0.9733333333333334,7,0.03333333333333344,0.5355,6500.0,Random 8x8 long
sarsa,SARSA,0.9,0,p0.90_m0,0,10000,0.88,random8,8x8,0.9733333333333334,7,0.09333333333333338,0.547,5500.0,Random 8x8 long
expected_sarsa,Expected SARSA,0.9,0,p0.90_m0,0,10000,0.98,random8,8x8,0.9733333333333334,7,-0.006666666666666599,0.6025,5500.0,Random 8x8 long
sarsa_lambda,SARSA(lambda),0.9,0,p0.90_m0,0,10000,0.72,random8,8x8,0.9733333333333334,7,0.2533333333333334,0.582,6000.0,Random 8x8 long
q_lambda,Q(lambda),0.9,0,p0.90_m0,0,10000,0.86,random8,8x8,0.9733333333333334,7,0.1133333333333334,0.4925,8000.0,Random 8x8 long
optimistic_q,Optimistic Q,0.9,0,p0.90_m0,0,10000,0.96,random8,8x8,0.9733333333333334,7,0.01333333333333342,0.949,500.0,Random 8x8 long
dyna_q,Dyna-Q,0.9,0,p0.90_m0,0,10000,0.4,random8,8x8,0.9733333333333334,7,0.5733333333333334,0.854,500.0,Random 8x8 long
q_learning,Q-learning,0.9,1,p0.90_m1,0,10000,1.0,random8,8x8,1.0,4,0.0,0.919,1500.0,Random 8x8 long
sarsa,SARSA,0.9,1,p0.90_m1,0,10000,1.0,random8,8x8,1.0,4,0.0,0.888,1000.0,Random 8x8 long
expected_sarsa,Expected SARSA,0.9,1,p0.90_m1,0,10000,1.0,random8,8x8,1.0,4,0.0,0.866,2000.0,Random 8x8 long
sarsa_lambda,SARSA(lambda),0.9,1,p0.90_m1,0,10000,1.0,random8,8x8,1.0,4,0.0,0.96,500.0,Random 8x8 long
q_lambda,Q(lambda),0.9,1,p0.90_m1,0,10000,1.0,random8,8x8,1.0,4,0.0,0.927,1000.0,Random 8x8 long
expected_sarsa,Expected SARSA,0.85,4,p0.85_m4,0,10000,0.94,random8,8x8,1.0,7,0.06000000000000005,0.4905,7000.0,Random 8x8 long
optimistic_q,Optimistic Q,0.9,1,p0.90_m1,0,10000,1.0,random8,8x8,1.0,4,0.0,0.974,500.0,Random 8x8 long
q_learning,Q-learning,0.9,2,p0.90_m2,0,10000,1.0,random8,8x8,1.0,6,0.0,0.913,1000.0,Random 8x8 long
sarsa,SARSA,0.9,2,p0.90_m2,0,10000,0.82,random8,8x8,1.0,6,0.18000000000000005,0.6635,6000.0,Random 8x8 long
expected_sarsa,Expected SARSA,0.9,2,p0.90_m2,0,10000,0.92,random8,8x8,1.0,6,0.07999999999999996,0.802,4000.0,Random 8x8 long
sarsa_lambda,SARSA(lambda),0.9,2,p0.90_m2,0,10000,0.92,random8,8x8,1.0,6,0.07999999999999996,0.879,1000.0,Random 8x8 long
q_lambda,Q(lambda),0.9,2,p0.90_m2,0,10000,1.0,random8,8x8,1.0,6,0.0,0.893,1000.0,Random 8x8 long
optimistic_q,Optimistic Q,0.9,2,p0.90_m2,0,10000,1.0,random8,8x8,1.0,6,0.0,0.971,500.0,Random 8x8 long
dyna_q,Dyna-Q,0.9,2,p0.90_m2,0,10000,0.98,random8,8x8,1.0,6,0.020000000000000018,0.8755,1000.0,Random 8x8 long
q_learning,Q-learning,0.9,3,p0.90_m3,0,10000,0.96,random8,8x8,1.0,3,0.040000000000000036,0.9375,500.0,Random 8x8 long
sarsa,SARSA,0.9,3,p0.90_m3,0,10000,0.98,random8,8x8,1.0,3,0.020000000000000018,0.937,500.0,Random 8x8 long
expected_sarsa,Expected SARSA,0.9,3,p0.90_m3,0,10000,1.0,random8,8x8,1.0,3,0.0,0.9355,1000.0,Random 8x8 long
sarsa_lambda,SARSA(lambda),0.9,3,p0.90_m3,0,10000,0.94,random8,8x8,1.0,3,0.06000000000000005,0.946,500.0,Random 8x8 long
q_lambda,Q(lambda),0.9,3,p0.90_m3,0,10000,1.0,random8,8x8,1.0,3,0.0,0.9265,1000.0,Random 8x8 long
optimistic_q,Optimistic Q,0.9,3,p0.90_m3,0,10000,1.0,random8,8x8,1.0,3,0.0,0.9705,500.0,Random 8x8 long
dyna_q,Dyna-Q,0.9,3,p0.90_m3,0,10000,1.0,random8,8x8,1.0,3,0.0,0.9255,1000.0,Random 8x8 long
dyna_q,Dyna-Q,0.9,1,p0.90_m1,0,10000,0.96,random8,8x8,1.0,4,0.040000000000000036,0.946,500.0,Random 8x8 long
dyna_q,Dyna-Q,0.95,4,p0.95_m4,0,10000,0.98,random8,8x8,1.0,1,0.020000000000000018,0.9495,500.0,Random 8x8 long
